Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
0.09999999,0.1503632,0.002737821,2.491042,0.003020226,260.2184,5.184722,23.54729,0.001719319,1367.541,0.7796637,0.07114606,1092.337,1092.408
0.2,0.316504,0.02416528,2.484675,0.007061764,259.6379,12.12269,54.93442,0.004020037,2281.168,4.15888,0.3801723,2001.92,2002.3
0.3,0.4030556,0.0627398,2.483025,0.0105637,259.0358,18.13435,81.98586,0.006013576,2756.393,7.016685,0.6421961,2473.646,2474.288
0.4,0.8883891,0.1290448,2.442909,0.02700683,255.0199,46.36172,206.3532,0.01537413,5420.409,35.51566,3.278882,5099.557,5102.836
0.5000001,1.118429,0.2261997,2.415569,0.03432323,252.6393,58.92155,259.808,0.01953913,6686.37,58.88248,5.470703,6312.741,6318.211
0.6,1.322389,0.3467888,2.386751,0.0422844,249.6714,72.58822,316.3096,0.02407117,7807.956,84.14202,7.864534,7387.631,7395.496
0.6999999,1.606722,0.4911367,2.343458,0.05199329,245.5704,89.25514,382.5487,0.02959813,9374.974,126.8936,11.97268,8860.084,8872.057
0.7999998,1.814288,0.6606954,2.307214,0.05962709,242.0177,102.3598,432.3686,0.03394381,10521.51,163.6628,15.56057,9858.929,9874.489
0.8999997,2.054917,0.8502313,2.267934,0.06680558,238.4485,114.6829,477.2773,0.03803029,11851.55,211.7628,20.32311,11066.08,11086.4
0.9999996,2.275232,1.064404,2.230835,0.07410242,234.6259,127.2092,520.9209,0.04218416,13071.02,261.2824,25.31005,12078.54,12103.85
1.1,2.48866,1.300571,2.191299,0.08089297,230.9198,138.8663,559.6743,0.04604979,14254.63,314.2352,30.73323,13095.49,13126.23
1.199999,2.674183,1.558373,2.154511,0.08735126,227.2854,149.953,594.8453,0.0497263,15283.89,364.1108,35.9235,13972.14,14008.07
1.299999,2.917143,1.834191,2.105106,0.09487115,222.9464,162.8621,633.7209,0.05400713,16635.59,435.1024,43.44795,15090.96,15134.4
1.399999,3.120981,2.112233,2.053572,0.1033335,217.9619,177.3892,674.8154,0.05882448,17772.56,499.8212,50.45052,15827.8,15878.25
1.499999,3.296479,2.409487,2.021156,0.1081031,215.1194,185.577,696.7566,0.06153967,18755.26,559.2783,56.99617,16481.66,16538.65
1.599999,3.497651,2.726413,1.981733,0.1150478,210.9547,197.4987,727.1616,0.06549305,19879.87,631.0879,65.03452,17345.8,17410.84
1.699999,3.737941,3.062389,1.933323,0.1226729,206.3663,210.5885,758.4918,0.06983379,21228.21,722.9985,75.55188,18315.9,18391.45
1.799999,3.920766,3.418589,1.885376,0.1291052,202.4988,221.6305,783.3021,0.07349546,22257.82,797.4232,84.25278,18866.75,18951
1.899999,4.09799,3.793173,1.857065,0.1349144,199.0186,231.6031,804.4805,0.07680251,23257.06,872.9815,93.24322,19519.61,19612.86
1.999999,4.272845,4.185306,1.819318,0.140644,195.6059,241.4388,824.264,0.08006413,24245.37,951.0266,102.6982,20131.21,20233.91
2.099999,4.464879,4.595843,1.781024,0.1471018,191.7909,252.5247,845.297,0.08374037,25332.6,1040.61,113.7552,20798.05,20911.81
2.199999,4.652514,5.025232,1.737223,0.1536203,187.982,263.7148,865.2236,0.08745116,26399.91,1132.58,125.3442,21290,21415.34
2.299999,4.81598,5.473017,1.699654,0.1594703,184.6056,273.7573,882.0394,0.09078137,27333.8,1216.275,136.0938,21482.98,21619.07
2.399998,4.963923,5.937623,1.669299,0.1642968,181.853,282.0428,895.1849,0.09352893,28180.93,1294.681,146.3299,21681.97,21828.3
2.499998,5.149084,6.418219,1.631611,0.1708285,178.1794,293.2556,911.9716,0.09724724,29243.61,1396.4,159.8467,21869.8,22029.65
2.599998,5.299394,6.915826,1.603667,0.1750995,175.8114,300.5875,922.3493,0.0996786,30109.5,1482.011,171.4261,21495.55,21666.97
2.699998,5.477324,7.428449,1.572019,0.1811251,172.5188,310.9315,936.2214,0.1031088,31135.49,1586.613,185.8209,21695.81,21881.63
2.799998,5.618249,7.957365,1.545388,0.1859285,169.9359,319.1773,946.6611,0.1058432,31950.03,1672.108,197.7871,21843.41,22041.19
2.899998,5.765251,8.500725,1.518615,0.1908954,167.3053,327.7038,956.9045,0.1086707,32801.64,1763.807,210.8198,21983.52,22194.34
2.999998,5.904651,9.060383,1.491874,0.1956309,164.8361,335.8331,966.1691,0.1113665,33611.54,1853.236,223.7282,22045.28,22269.01
3.099998,6.055271,9.634582,1.46556,0.2005606,162.3066,344.2957,975.3156,0.1141727,34488.7,1952.479,238.2745,22122.28,22360.55
3.199998,6.207746,10.22281,1.439107,0.2055924,159.7683,352.9336,984.1496,0.1170372,35379.04,2055.772,253.6617,22163.49,22417.15
3.299998,6.347024,10.82613,1.409708,0.2105378,157.3169,361.4232,992.3591,0.1198524,36195.98,2152.937,268.3765,21832.56,22100.94
3.399997,6.464001,11.44397,1.384518,0.2152499,155.0213,369.5123,999.7641,0.1225349,36883.87,2236.445,281.1997,20774.58,21055.78
3.499997,6.638735,12.07434,1.360818,0.220083,152.7073,377.8092,1006.954,0.1252863,37914.47,2364.292,301.1263,20201.52,20502.65
3.599997,6.767925,12.71945,1.336275,0.2250085,150.3915,386.2646,1013.878,0.1280902,38678.62,2461.38,316.5152,19018.29,19334.8
3.699997,6.883051,13.37847,1.315619,0.2285546,148.7506,392.3521,1018.62,0.1301089,39362.31,2549.838,330.7205,17338.34,17669.06
3.799997,7.033335,14.04934,1.295472,0.2335509,146.476,400.929,1024.97,0.1329531,40255.75,2667.637,349.8983,16742.8,17092.7
3.899997,7.167348,14.73398,1.274537,0.2380422,144.4683,408.6391,1030.362,0.1355098,41055.23,2775.23,367.6828,15285.8,15653.48
3.999997,7.274162,15.43077,1.256776,0.2416053,142.9003,414.7557,1034.434,0.1375382,41693.88,2862.633,382.3128,14704.61,15086.92
4.099997,7.401055,16.14037,1.236061,0.2458756,141.0496,422.0864,1039.084,0.1399691,42454.84,2968.49,400.2542,13785.31,14185.56
4.199997,7.500827,16.86267,1.218063,0.2498821,139.3414,428.9644,1043.227,0.14225,43054.88,3053.259,414.7941,11842.79,12257.58
4.299997,7.663279,17.59616,1.200199,0.254158,137.548,436.3046,1047.421,0.1446841,44034.2,3193.956,439.2464,10525.95,10965.19
4.399997,7.776163,18.34253,1.179447,0.2585102,135.7537,443.7758,1051.46,0.1471616,44717.53,3294.02,456.9028,8867.414,9324.316
4.499997,7.875672,19.10064,1.162401,0.2624711,134.1477,450.5753,1054.941,0.1494164,45321.02,3383.551,472.8672,6573.238,7046.105
4.599997,8.013399,19.86998,1.146541,0.2664612,132.5555,457.425,1058.267,0.1516879,46158.42,3509.675,495.6334,5333.395,5829.028
4.699996,8.109164,20.65109,1.132466,0.2697855,131.2484,463.1318,1060.904,0.1535803,46742.6,3599.011,511.963,2810.25,3322.213
4.799996,8.232748,21.44337,1.114585,0.2739397,129.6395,470.2631,1064.034,0.1559452,47498.39,3716.168,533.6201,824.6926,1358.313
4.899996,8.336115,22.24762,1.099513,0.2778145,128.1629,476.9149,1066.794,0.158151,48132.5,3815.836,552.261,-2996.037,-2443.776
4.999996,8.441735,23.06128,1.087843,0.2804829,127.1595,481.4957,1068.608,0.15967,48781.77,3919.091,571.7652,-4146.887,-3575.122
5.099996,8.561476,23.88643,1.071046,0.2847469,125.5785,488.8155,1071.365,0.1620973,49519.08,4037.976,594.4876,-5874.293,-5279.805
5.199996,8.647716,24.72251,1.060529,0.2877381,124.4856,493.9504,1073.198,0.1638002,50051.59,4124.889,611.2747,-7245.875,-6634.601
5.299996,8.764023,25.56852,1.047916,0.2912922,123.2041,500.0516,1075.27,0.1658234,50770.97,4243.617,634.4302,-8525.905,-7891.475
5.399996,8.879423,26.42545,1.031215,0.2953561,121.7615,507.0279,1077.505,0.1681368,51487.29,4363.482,658.0935,-10525.97,-9867.88
5.499996,8.969471,27.29333,1.018647,0.2986393,120.6132,512.6641,1079.208,0.1700059,52048.11,4458.457,677.0434,-13404.13,-12727.08
5.599996,9.077555,28.17048,1.006022,0.3019678,119.4645,518.3781,1080.844,0.1719007,52722.87,4573.968,700.3143,-15610.6,-14910.29
5.699996,9.183952,29.05887,0.992074,0.3058183,118.155,524.9882,1082.628,0.1740927,53389.13,4689.41,723.8268,-20779.19,-20055.36
5.799995,9.260191,29.95693,0.9835272,0.3079885,117.4259,528.7136,1083.582,0.1753281,53868.01,4773.218,741.0518,-23315.67,-22574.62
5.899995,9.362314,30.86326,0.9742213,0.3108832,116.4633,533.6829,1084.8,0.1769759,54509.92,4886.556,764.5338,-25052.96,-24288.42
5.999995,9.472534,31.77983,0.9579524,0.3153774,114.991,541.3978,1086.57,0.1795343,55204.04,5010.56,790.5046,-27612.39,-26821.88
6.099995,9.557909,32.70683,0.9470612,0.318538,113.9715,546.8235,1087.73,0.1813336,55743.97,5108.033,811.1199,-32792.13,-31981.01
6.199995,9.664897,33.6428,0.9362835,0.321924,112.8936,552.6362,1088.895,0.1832611,56422.16,5231.7,837.5201,-35554.05,-34716.54
6.299995,9.738656,34.58907,0.9275657,0.3240558,112.2225,556.2958,1089.59,0.1844747,56891.4,5318.105,856.1362,-40245.96,-39389.82
6.399995,9.819609,35.54357,0.920405,0.326773,111.3754,560.9603,1090.432,0.1860215,57406.7,5413.716,876.8832,-42434.75,-41557.87
6.499995,9.938016,36.50681,0.907693,0.330734,110.1569,567.7601,1091.576,0.1882764,58162.19,5555.305,907.9017,-45406.84,-44498.93
6.599995,10.01486,37.47978,0.8980536,0.3334639,109.3283,572.4464,1092.308,0.1898304,58653.94,5648.397,928.4932,-48693.57,-47765.08
6.699995,10.10627,38.46173,0.8882468,0.3365136,108.4134,577.6817,1093.072,0.1915665,59240.64,5760.417,953.4761,-51994.03,-51040.55
6.799994,10.18979,39.45314,0.878481,0.3394345,107.5474,582.6959,1093.753,0.1932293,59778.01,5863.921,976.7567,-55434.18,-54457.42
6.899994,10.29544,40.45292,0.8677711,0.3425583,106.6324,588.0583,1094.427,0.1950075,60459.95,5996.473,1006.838,-62823.18,-61816.34
6.999994,10.36201,41.46163,0.8610728,0.3451242,105.8893,592.4631,1094.941,0.1964682,60890.26,6080.829,1026.14,-65537.12,-64510.98
7.099994,10.46111,42.47839,0.8504633,0.3485604,104.9058,598.3621,1095.572,0.1984244,61532.75,6207.806,1055.429,-70241.91,-69186.48
7.199994,10.53337,43.5046,0.8427571,0.3508069,104.27,602.2185,1095.951,0.1997032,62002.67,6301.443,1077.205,-78397.88,-77320.68
7.299994,10.63404,44.53845,0.8350279,0.3537801,103.4373,607.3225,1096.412,0.2013958,62658.41,6433.14,1108.071,-83359.86,-82251.79
7.399994,10.70165,45.58136,0.8267513,0.3565185,102.6788,612.0234,1096.797,0.2029546,63100.13,6522.597,1129.213,-88601.43,-87472.22
7.499994,10.78499,46.63157,0.8189738,0.359159,101.9552,616.5563,1097.134,0.2044578,63645.69,6633.85,1155.689,-92748.52,-91592.84
7.599994,10.86822,47.6898,0.8121457,0.3617917,101.2411,621.0757,1097.435,0.2059565,64191.39,6745.958,1182.568,-95835.24,-94652.67
7.699994,10.94692,48.75603,0.8037381,0.3646799,100.4662,626.0338,1097.729,0.2076007,64708.5,6852.994,1208.425,-99028.14,-97819.72
7.799994,11.02491,49.83062,0.7972059,0.3670463,99.83773,630.0961,1097.941,0.2089478,65222.48,6960.151,1234.504,-102296.7,-101062.2
7.899993,11.12015,50.91364,0.7864813,0.3705795,98.91006,636.1616,1098.21,0.2109592,65851.98,7092.468,1266.976,-108073.5,-106806.6
7.999993,11.19715,52.005,0.7787955,0.3730213,98.27637,640.3533,1098.364,0.2123492,66362.73,7200.676,1293.749,-119195.2,-117901.5
8.099996,11.27559,53.10353,0.7733153,0.3757023,97.58746,644.9556,1098.503,0.2138753,66883.44,7311.708,1321.403,-122725.5,-121404.1
8.199998,11.33528,54.21012,0.7659852,0.3776112,97.10128,648.2325,1098.584,0.2149621,67280.98,7397.008,1342.787,-129082.3,-127739.5
8.3,11.42275,55.32392,0.7596341,0.3804453,96.38601,653.0978,1098.676,0.2165754,67864.59,7523.062,1374.604,-134073.7,-132699
8.400002,11.50393,56.44587,0.7514442,0.3833944,95.64993,658.1604,1098.737,0.2182543,68407.85,7641.304,1404.689,-140611.2,-139206.5
8.500005,11.55751,57.5755,0.7460185,0.3854393,95.14441,661.6708,1098.759,0.2194183,68767.34,7720.013,1424.843,-150238.7,-148813.9
8.600007,11.64845,58.71187,0.7382342,0.3884658,94.40343,666.8663,1098.763,0.2211413,69378.6,7854.658,1459.536,-157000.2,-155540.6
8.700009,11.72136,59.85599,0.7335752,0.3904266,93.92791,670.2323,1098.746,0.2222575,69870.17,7963.695,1487.839,-163982.3,-162494.4
8.800012,11.79956,61.00673,0.7270756,0.3929552,93.31989,674.5731,1098.704,0.2236969,70397.91,8081.488,1518.616,-168098,-166579.3
8.900014,11.86,62.16516,0.7209446,0.3951473,92.79752,678.3361,1098.648,0.2249448,70806.99,8173.356,1542.776,-172385.2,-170842.4
9.000016,11.92787,63.33116,0.7144925,0.3975907,92.22031,682.5306,1098.566,0.2263358,71267.41,8277.328,1570.283,-178271.4,-176701.1
9.100019,12.01189,64.50424,0.7071572,0.4002732,91.59269,687.1357,1098.451,0.2278628,71839.02,8407.226,1604.883,-193727.2,-192122.3
9.200021,12.0845,65.68406,0.7022228,0.402731,91.02322,691.3549,1098.324,0.229262,72334.13,8520.47,1635.258,-199836.3,-198201
9.300023,12.13258,66.87128,0.6966115,0.4046308,90.58661,694.6163,1098.212,0.2303435,72662.63,8595.979,1655.621,-209474.4,-207818.8
9.400025,12.22223,68.06464,0.6912737,0.407143,90.014,698.9288,1098.046,0.2317736,73276.45,8737.873,1694.118,-217412.3,-215718.1
9.500028,12.28734,69.26561,0.6850632,0.4096573,89.44626,703.2451,1097.858,0.2332049,73723.44,8841.879,1722.538,-227312.5,-225590
9.60003,12.34844,70.47369,0.6789675,0.4118381,88.95813,706.9887,1097.679,0.2344463,74144.13,8940.283,1749.585,-240893.9,-239144.3
9.700032,12.41613,71.68769,0.6760431,0.4137235,88.53928,710.2253,1097.512,0.2355196,74610.74,9049.959,1779.886,-245846,-244066.1
9.800035,12.49253,72.90886,0.669208,0.4162559,87.98129,714.5726,1097.271,0.2369612,75138.79,9174.815,1814.609,-256229.9,-254415.3
9.900037,12.5483,74.13679,0.6647872,0.4181727,87.56239,717.8631,1097.076,0.2380524,75525.09,9266.646,1840.297,-261430.5,-259590.2
10.00004,12.62851,75.37128,0.6584694,0.4208905,86.97348,722.5287,1096.78,0.2395996,76081.91,9399.716,1877.74,-268467.5,-266589.8
10.10004,12.68279,76.6125,0.6533106,0.4229096,86.53976,725.9949,1096.545,0.240749,76459.82,9490.533,1903.453,-275761.9,-273858.5
10.20004,12.74323,77.86012,0.649938,0.4246842,86.16123,729.0411,1096.33,0.2417592,76881.33,9592.268,1932.395,-281211.4,-279279
10.30005,12.81756,79.1142,0.6438699,0.4272501,85.61821,733.4459,1096.003,0.2432199,77400.87,9718.33,1968.472,-292533.1,-290564.7
10.40005,12.86574,80.37465,0.64019,0.4288821,85.27546,736.2476,1095.785,0.2441489,77738.42,9800.64,1992.157,-298230.4,-296238.3
10.50005,12.93922,81.64114,0.6344913,0.4314303,84.74436,740.6219,1095.43,0.2455995,78254.23,9926.994,2028.704,-305910.4,-303881.7
10.60005,13.01276,82.91452,0.6289175,0.4335772,84.30068,744.3075,1095.118,0.2468217,78772.31,10054.64,2065.867,-321902.2,-319836.3
10.70006,13.06826,84.194,0.6256739,0.4355187,83.90243,747.6404,1094.825,0.247927,79163.78,10151.56,2094.24,-327860.1,-325765.8
10.80006,13.13905,85.47977,0.6202379,0.4379334,83.41096,751.7857,1094.447,0.2493016,79664.38,10276.11,2130.903,-335952.4,-333821.5
10.90006,13.18497,86.77226,0.6158618,0.4397393,83.0462,754.8857,1094.154,0.2503296,79989.78,10357.43,2154.962,-348583.3,-346428.3
11.00006,13.25895,88.07013,0.6116691,0.4418451,82.62383,758.5007,1093.802,0.2515284,80515.33,10489.37,2194.196,-359097.5,-356903.3
11.10006,13.31096,89.3746,0.6075778,0.4437611,82.24231,761.7898,1093.472,0.2526191,80885.73,10582.81,2222.142,-369860.1,-367638
11.20007,13.36718,90.68507,0.6031017,0.4456823,81.86234,765.088,1093.133,0.2537128,81286.85,10684.42,2252.668,-378528.2,-376275.6
11.30007,13.43069,92.00154,0.5989296,0.4477798,81.45049,768.6886,1092.752,0.2549068,81740.97,10799.96,2287.557,-387290.8,-385003.2
11.40007,13.49559,93.32401,0.5945674,0.4498096,81.05484,772.1731,1092.373,0.2560623,82206.19,10918.89,2323.667,-403094.3,-400770.6
11.50007,13.55027,94.65283,0.5902837,0.451811,80.6675,775.6089,1091.99,0.2572016,82599.03,11019.77,2354.458,-412176,-409821.6
11.60008,13.61084,95.98721,0.5863152,0.4538127,80.28283,779.0452,1091.598,0.2583412,83035.11,11132.23,2388.948,-423722.8,-421333.8
11.70008,13.66435,97.32764,0.5820997,0.4555629,79.94874,782.0496,1091.248,0.2593375,83421.28,11232.24,2419.771,-442694.4,-440274.6
11.80008,13.73586,98.67351,0.5784324,0.4576889,79.54565,785.6992,1090.813,0.2605477,83938.4,11366.76,2461.443,-457005.4,-454544
11.90008,13.78325,100.0255,0.5747085,0.4595656,79.19231,788.921,1090.42,0.2616161,84281.95,11456.53,2489.4,-469126.1,-466636.7
12.00008,13.83804,101.3828,0.5713431,0.4611797,78.89028,791.6918,1090.077,0.2625349,84679.82,11560.86,2522.025,-476365.5,-473843.4
12.10009,13.89785,102.7456,0.5674877,0.4631982,78.51497,795.1569,1089.639,0.263684,85114.89,11675.42,2558.015,-483684.5,-481126.5
12.20009,13.95382,104.1141,0.563576,0.4651062,78.16262,798.4324,1089.218,0.2647702,85523.05,11783.34,2592.09,-491128.2,-488536.1
12.30009,14.00973,105.4887,0.5599448,0.4670561,77.80495,801.7797,1088.779,0.2658802,85931.59,11891.79,2626.496,-498675.8,-496049.3
12.40009,14.07595,106.8687,0.5551192,0.4692595,77.40369,805.5621,1088.274,0.2671345,86416.98,12021.24,2667.782,-514238.9,-511571.1
12.5001,14.12712,108.2548,0.5515087,0.4712796,77.03847,809.03,1087.802,0.2682845,86793.06,12121.96,2700.07,-535435.8,-532735.8
12.6001,14.18134,109.6459,0.5483885,0.4728527,76.75584,811.7305,1087.428,0.26918,87192.32,12229.28,2734.619,-546024.9,-543290.3
12.7001,14.23245,111.0427,0.5449225,0.4745491,76.45278,814.6426,1087.021,0.2701457,87569.48,12331.04,2767.526,-562269.1,-559501.6
12.8001,14.29131,112.4445,0.5411448,0.4765123,76.10425,818.0127,1086.542,0.2712633,88004.61,12448.89,2805.806,-573119.8,-570313.9
12.90011,14.34507,113.852,0.5377445,0.4783009,75.78874,821.0833,1086.099,0.2722815,88403.05,12557.23,2841.166,-584139.8,-581298.6
13.00011,14.38912,115.2651,0.5345111,0.4797694,75.53115,823.6041,1085.73,0.2731175,88730.3,12646.52,2870.431,-603910.7,-601040.3
13.10011,14.45542,116.6834,0.5304939,0.482139,75.11819,827.672,1085.127,0.2744664,89223.69,12781.66,2914.919,-620958.9,-618044
13.20011,14.49678,118.1073,0.528172,0.4835028,74.88203,830.0132,1084.776,0.2752427,89532.34,12866.52,2942.983,-635379.3,-632436.3
13.30011,14.56042,119.5361,0.5241639,0.4855766,74.52502,833.5732,1084.234,0.2764233,90008.14,12997.8,2986.587,-649882.1,-646895.6
13.40012,14.60386,120.9703,0.5207683,0.487164,74.25344,836.2982,1083.815,0.277327,90333.6,13087.93,3016.655,-670679.3,-667662.6
13.50012,14.65545,122.4095,0.5181703,0.4885944,74.00996,838.7538,1083.433,0.2781413,90721.02,13195.56,3052.703,-688616.9,-685564.3
13.60012,14.7074,123.8534,0.5154595,0.4904024,73.7039,841.8574,1082.945,0.2791705,91111.59,13304.44,3089.317,-697571.3,-694482
13.70012,14.75781,125.3031,0.5120744,0.4921108,73.4164,844.7902,1082.479,0.2801431,91491.67,13410.79,3125.239,-709744.4,-706619.2
13.80013,14.8185,126.7578,0.5083597,0.4939627,73.10662,847.9692,1081.967,0.2811972,91950.41,13539.62,3168.952,-734596.4,-731427.5
13.90013,14.86667,128.2173,0.5055824,0.4958129,72.79903,851.1455,1081.451,0.2822506,92314.97,13642.37,3203.966,-743918.8,-740714.8
14.00013,14.91256,129.6819,0.5030418,0.4972204,72.56633,853.5616,1081.054,0.2830518,92663.22,13740.84,3237.653,-753348.8,-750111.1
14.10013,14.96474,131.1518,0.499605,0.4990198,72.27039,856.6507,1080.542,0.2840761,93060.03,13853.42,3276.327,-766113.3,-762836.9
14.20014,15.01745,132.627,0.496137,0.5008428,71.9724,859.7802,1080.017,0.2851139,93461.96,13967.86,3315.814,-795522,-792206.2
14.30014,15.06479,134.1069,0.4939147,0.5021114,71.7661,861.9579,1079.649,0.285836,93823.7,14071.18,3351.607,-811927.4,-808575.8
14.40014,15.10945,135.5914,0.4912048,0.5038404,71.4863,864.9261,1079.144,0.2868204,94165.32,14169.06,3385.637,-821810.1,-818424.5
14.50014,15.16698,137.0805,0.4884111,0.5056127,71.20119,867.9684,1078.62,0.2878292,94606.42,14295.85,3429.895,-831743.9,-828314
14.60014,15.21282,138.575,0.4853419,0.5072346,70.94172,870.7528,1078.137,0.2887526,94958.66,14397.46,3465.518,-841855.6,-838390.1
14.70015,15.26328,140.0742,0.482243,0.508995,70.66166,873.7748,1077.608,0.2897547,95347.47,14509.98,3505.126,-855541.8,-852036.7
14.80015,15.30027,141.5786,0.4797877,0.510206,70.46993,875.8536,1077.241,0.290444,95633.06,14592.87,3534.404,-869431.2,-865896.8
14.90015,15.351,143.0876,0.4771501,0.5119342,70.19767,878.8203,1076.714,0.2914279,96025.52,14707.09,3574.9,-883392.9,-879818.1
15.00015,15.39931,144.6013,0.4744255,0.5135219,69.94888,881.5459,1076.225,0.2923317,96400.07,14816.47,3613.83,-897524.1,-893910.3
15.10016,15.44817,146.1199,0.4712119,0.5152224,69.68385,884.4651,1075.698,0.2932997,96779.73,14927.68,3653.575,-922715.1,-919061.6
15.20016,15.49725,147.643,0.4693077,0.5166554,69.46165,886.925,1075.25,0.2941155,97161.95,15040,3693.867,-937147.5,-933453.6
15.30016,15.54487,149.1708,0.4666848,0.5182772,69.21144,889.7091,1074.74,0.2950387,97533.42,15149.49,3733.295,-948045.2,-944311.9
15.40016,15.58806,150.7032,0.46404,0.5198173,68.97504,892.353,1074.252,0.2959155,97870.97,15249.28,3769.361,-959081.1,-955311.8
15.50016,15.64028,152.2405,0.4615848,0.5213826,68.73598,895.0402,1073.752,0.2968066,98279.98,15370.55,3813.357,-970187.5,-966374.1
15.60017,15.67747,153.7821,0.459618,0.5227123,68.53386,897.3228,1073.325,0.2975635,98571.75,15457.3,3844.939,-977658.6,-973813.6
15.70017,15.7227,155.3284,0.4567701,0.5242864,68.2957,900.0251,1072.816,0.2984596,98927.47,15563.37,3883.685,-989021.6,-985137.9
15.80017,15.77303,156.8793,0.4534916,0.5261341,68.01771,903.1968,1072.215,0.2995113,99324.22,15682.03,3927.204,-1004399,-1000471
15.90017,15.81197,158.4351,0.4510994,0.5273871,67.83011,905.348,1071.804,0.3002248,99631.98,15774.34,3961.187,-1031819,-1027858
16.00018,15.86469,159.995,0.448726,0.5290989,67.57507,908.2864,1071.24,0.3011991,100049.4,15899.91,4007.571,-1047491,-1043484
16.10018,15.90656,161.5595,0.4464038,0.5305529,67.35952,910.7825,1070.757,0.3020269,100381.8,16000.19,4044.764,-1071412,-1067367
16.20018,15.95357,163.1287,0.4439007,0.5319979,67.14629,913.2631,1070.275,0.3028495,100755.6,16113.31,4086.858,-1087434,-1083347
16.30018,15.99683,164.7025,0.4410945,0.5337377,66.8909,916.2496,1069.691,0.3038399,101100.5,16217.96,4125.95,-1120082,-1115956
16.40018,16.01154,166.2796,0.4403656,0.5341186,66.83516,916.9036,1069.562,0.3040567,101218,16253.68,4139.323,-1128271,-1124132
16.50019,16.0761,167.8605,0.4395103,0.5360897,66.54784,920.2874,1068.894,0.3051788,101733.5,16410.61,4198.181,-1136296,-1132098
16.60019,16.12325,169.4471,0.4348658,0.5377789,66.30307,923.187,1068.318,0.3061404,102111.5,16526.19,4241.774,-1152940,-1148698
16.70019,16.17451,171.0378,0.4321447,0.5394733,66.05883,926.0958,1067.737,0.307105,102523.5,16652.56,4289.631,-1174004,-1169715
16.80019,16.21375,172.6334,0.4300576,0.5407559,65.87483,928.2976,1067.294,0.3078351,102839.7,16749.82,4326.595,-1203941,-1199615
16.9002,16.25847,174.2329,0.4279633,0.5421235,65.67944,930.6454,1066.82,0.3086137,103200.6,16861.13,4369.038,-1221094,-1216725
17.0002,16.29522,175.8367,0.4259127,0.5434562,65.48988,932.9331,1066.356,0.3093724,103497.7,16952.97,4404.165,-1234067,-1229663
17.1002,16.3412,177.4447,0.4236321,0.5449606,65.27682,935.5156,1065.829,0.3102287,103870.3,17068.46,4448.482,-1251534,-1247086
17.2002,16.3844,179.0573,0.4209621,0.5466943,65.03255,938.4919,1065.218,0.3112157,104221.2,17177.52,4490.486,-1282621,-1278130
17.30021,16.41952,180.674,0.4196093,0.5475685,64.90987,939.9926,1064.909,0.3117133,104507.1,17266.58,4524.893,-1304965,-1300440
17.40021,16.45972,182.2946,0.4175462,0.5489616,64.71509,942.3842,1064.415,0.3125064,104834.7,17368.86,4564.515,-1318398,-1313833
17.50021,16.50574,183.9195,0.4151081,0.5505617,64.49241,945.1309,1063.844,0.3134173,105210.7,17486.55,4610.27,-1336518,-1331907
17.60021,16.54836,185.5488,0.4129256,0.5519649,64.29803,947.5398,1063.341,0.3142161,105559.7,17596.11,4653.008,-1364093,-1359440
17.70021,16.5844,187.182,0.4113155,0.5531421,64.13562,949.5605,1062.917,0.3148862,105855.3,17689.11,4689.4,-1377921,-1373232
17.80022,16.63187,188.8192,0.4087655,0.554709,63.92038,952.2504,1062.351,0.3157781,106245.5,17812.21,4737.728,-1396539,-1391801
17.90022,16.67948,190.4607,0.4062851,0.5561924,63.71756,954.797,1061.812,0.3166227,106638.1,17936.39,4786.662,-1429614,-1424827
18.00022,16.70822,192.1063,0.4048404,0.5573762,63.55637,956.8292,1061.38,0.3172965,106875.4,18011.64,4816.407,-1443872,-1439056
18.10022,16.75071,193.7557,0.403285,0.5585054,63.40318,958.7675,1060.967,0.3179393,107226.8,18123.29,4860.652,-1458165,-1453305
18.20023,16.79482,195.409,0.4010031,0.5600789,63.19059,961.4687,1060.388,0.3188351,107592.2,18239.7,4906.939,-1472593,-1467686
18.30023,16.83047,197.0667,0.3990395,0.5613527,63.01923,963.6555,1059.918,0.3195603,107888.4,18334.26,4944.658,-1487189,-1482244
18.40023,16.8749,198.7282,0.396768,0.5628276,62.82169,966.1873,1059.372,0.3203999,108258.2,18452.65,4992.034,-1506835,-1501843
18.50023,16.91862,200.3939,0.3945087,0.5643708,62.61593,968.8365,1058.797,0.3212783,108623.1,18569.77,5039.066,-1546755,-1541716
18.60023,16.9525,202.0632,0.3933778,0.5653416,62.48699,970.5031,1058.434,0.321831,108906.5,18660.92,5075.773,-1561743,-1556667
18.70024,16.98756,203.7366,0.3913178,0.5666031,62.32002,972.6687,1057.962,0.3225492,109200.1,18755.56,5113.988,-1576850,-1571736
18.80024,17.02209,205.4135,0.3897609,0.5676712,62.17916,974.5023,1057.56,0.3231572,109489.9,18849.15,5151.882,-1592068,-1586916
18.90024,17.06245,207.0945,0.3878641,0.5690744,61.9948,976.911,1057.031,0.323956,109829.1,18958.94,5196.462,-1607387,-1602190
19.00024,17.10927,208.7792,0.3852728,0.5707245,61.779,979.7438,1056.406,0.3248954,110223.5,19086.94,5248.611,-1628053,-1622804
